"","Year","e0_Masc","e0_Fem","c_Masc","c_Fem"
"1",1751,36.87,39.93,"SWE","SWE"
"2",1752,33.95,36.82,"SWE","SWE"
"3",1753,38.1,41.32,"SWE","SWE"
"4",1754,35.87,39.07,"SWE","SWE"
"5",1755,35.42,37.68,"SWE","SWE"
"6",1756,34.57,37.88,"SWE","SWE"
"7",1757,32.52,35.07,"SWE","SWE"
"8",1758,31.39,34.45,"SWE","SWE"
"9",1759,36.44,39.95,"SWE","SWE"
"10",1760,38.13,41.23,"SWE","SWE"
"11",1761,36.41,39.19,"SWE","SWE"
"12",1762,31.27,33.66,"SWE","SWE"
"13",1763,29.07,31.83,"SWE","SWE"
"14",1764,34.62,37.99,"SWE","SWE"
"15",1765,34.13,37.87,"SWE","SWE"
"16",1766,36.46,39.75,"SWE","SWE"
"17",1767,36.32,40.16,"SWE","SWE"
"18",1768,33.78,36.28,"SWE","SWE"
"19",1769,33.74,35.63,"SWE","SWE"
"20",1770,35.47,37.82,"SWE","SWE"
"21",1771,33.95,36.89,"SWE","SWE"
"22",1772,25.91,29.65,"SWE","SWE"
"23",1773,17.18,18.83,"SWE","SWE"
"24",1774,39.77,41.4,"SWE","SWE"
"25",1775,37.05,39.26,"SWE","SWE"
"26",1776,40.21,42.81,"SWE","SWE"
"27",1777,37.01,39.24,"SWE","SWE"
"28",1778,34.3,36.81,"SWE","SWE"
"29",1779,32.19,33.44,"SWE","SWE"
"30",1780,41.28,44.06,"SWE","SWE"
"31",1781,36.43,39.19,"SWE","SWE"
"32",1782,35.06,38.27,"SWE","SWE"
"33",1783,31.93,35.56,"SWE","SWE"
"34",1784,30.17,32.7,"SWE","SWE"
"35",1785,32.31,34.64,"SWE","SWE"
"36",1786,36.4,39.4,"SWE","SWE"
"37",1787,38.72,41.83,"SWE","SWE"
"38",1788,35.41,38.24,"SWE","SWE"
"39",1789,28.1,34.75,"SWE","SWE"
"40",1790,31.82,35.42,"SWE","SWE"
"41",1791,37.3,39.61,"SWE","SWE"
"42",1792,38.38,41.33,"SWE","SWE"
"43",1793,38.45,40.85,"SWE","SWE"
"44",1794,38.98,41.85,"SWE","SWE"
"45",1795,35.31,37.8,"SWE","SWE"
"46",1796,37.47,40.29,"SWE","SWE"
"47",1797,38.81,41.94,"SWE","SWE"
"48",1798,39.73,42.96,"SWE","SWE"
"49",1799,37.65,41.05,"SWE","SWE"
"50",1800,31.17,33.21,"SWE","SWE"
"51",1801,35.72,38.09,"SWE","SWE"
"52",1802,38.54,41.86,"SWE","SWE"
"53",1803,38.63,41.88,"SWE","SWE"
"54",1804,37.97,41.46,"SWE","SWE"
"55",1805,39.67,42.43,"SWE","SWE"
"56",1806,35.1,37.3,"SWE","SWE"
"57",1807,37.58,39.95,"SWE","SWE"
"58",1808,28.18,32.28,"SWE","SWE"
"59",1809,24.97,28.96,"SWE","SWE"
"60",1810,30.35,33.67,"SWE","SWE"
"61",1811,32.93,36.27,"SWE","SWE"
"62",1812,33.35,36.89,"SWE","SWE"
"63",1813,34.43,38.61,"SWE","SWE"
"64",1814,37.03,40.15,"SWE","SWE"
"65",1815,38.99,41.9,"SWE","SWE"
"66",1816,39.91,43.67,"SWE","SWE"
"67",1817,38.81,41.81,"SWE","SWE"
"68",1818,38.12,41.99,"FRACNP","SWE"
"69",1819,36.75,38.65,"FRACNP","SWE"
"70",1820,38.62,41.88,"FRACNP","SWE"
"71",1821,39.37,40.43,"FRACNP","FRACNP"
"72",1822,40.71,44.84,"SWE","SWE"
"73",1823,43.01,47.39,"SWE","SWE"
"74",1824,42.69,47.27,"SWE","SWE"
"75",1825,42.92,47.61,"SWE","SWE"
"76",1826,40.82,45.42,"SWE","SWE"
"77",1827,40.72,44.61,"SWE","SWE"
"78",1828,36.94,40.29,"FRACNP","SWE"
"79",1829,38.65,40.27,"FRACNP","FRACNP"
"80",1830,38.93,43.45,"FRACNP","SWE"
"81",1831,38.95,41.17,"FRACNP","SWE"
"82",1832,39.12,42.59,"SWE","SWE"
"83",1833,40.36,44.7,"SWE","SWE"
"84",1834,36.3,40.89,"SWE","SWE"
"85",1835,44.94,49.35,"SWE","SWE"
"86",1836,43.05,47.25,"SWE","SWE"
"87",1837,40.01,43.11,"DNK","DNK"
"88",1838,41.91,44.41,"DNK","DNK"
"89",1839,41.12,42.71,"DNK","DNK"
"90",1840,41.84,46.14,"SWE","SWE"
"91",1841,43.05,47.24,"SWE","SWE"
"92",1842,41.04,45.2,"DNK","ISL"
"93",1843,42.67,45.16,"DNK","DNK"
"94",1844,42.97,46.91,"DNK","SWE"
"95",1845,43.51,48.5,"SWE","SWE"
"96",1846,46.44,49.67,"NOR","NOR"
"97",1847,43.47,46.08,"NOR","NOR"
"98",1848,43.36,47.29,"NOR","SWE"
